feature,mean_abs_shap
longitude,0.19930586847022613
latitude,0.19048329123762042
hour,0.13007722995175644
dow,0.07499368353545154
month,0.06482352559437388
is_rush_hour,0.022374474107507432
is_night,0.009522800714206988
is_weekend,0.0007866106181526846
